host_id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability
31365652,52.3536,4.92129,48,1,298,6.04,1,5
197286521,52.37459,4.84969,100,1,63,6.02,6,221
6468856,52.3669,4.87566,80,2,436,6.02,1,147
33351900,52.35651,4.85341,110,1,93,6.01,2,41
7261788,52.3603,4.86627,84,2,364,6.01,2,258
12306135,52.37638,4.89394,250,2,6,6,1,0
2625227,52.36976,4.85945,150,3,6,6,1,0
57634810,52.36932,4.89776,105,3,6,6,1,0
13493470,52.36157,4.8648,77,2,6,6,1,4
49855803,52.36918,4.87151,125,2,6,6,1,31
247427991,52.37764,4.89496,120,2,6,6,1,40
83937064,52.37007,4.88386,230,2,6,6,1,132
16054546,52.36437,4.86442,90,2,6,6,1,203
111371051,52.35988,4.93578,46,1,6,6,2,53
107745142,52.36131,4.91418,79,2,6,6,29,0
113977564,52.36874,4.85191,79,2,6,6,42,0
15297805,52.38087,4.89211,215,2,88,5.99,1,162
195172702,52.38173,4.9676,85,2,58,5.98,1,222
14187610,52.3631,4.8839,105,1,225,5.98,2,322
20358179,52.37544,4.89538,99,3,261,5.97,2,215
84256372,52.3483,4.80115,49,2,200,5.96,1,215
179159156,52.32398,4.96656,58,2,81,5.94,2,101
10670068,52.35059,4.90647,85,1,386,5.94,2,282
129903779,52.37085,4.85176,83,2,33,5.93,1,3
3278419,52.37028,4.8939,85,1,476,5.93,2,189
91138979,52.38075,4.88863,65,3,12,5.9,2,0
197286521,52.37306,4.8495,55,1,57,5.9,6,225
39600914,52.36165,4.82541,37,1,71,5.9,2,6
73492507,52.37568,4.87928,128,2,211,5.9,1,0
52628502,52.38063,4.88634,101,1,234,5.9,3,237
39110511,52.36407,4.88636,110,2,134,5.89,5,36
1382273,52.39038,4.89128,105,2,383,5.89,2,262
39710045,52.35007,4.89347,95,2,47,5.88,1,13
170320980,52.36958,4.88395,140,2,90,5.88,1,14
9085127,52.36414,4.88107,85,4,372,5.88,1,2
130861436,52.36572,4.88067,108,1,134,5.87,1,273
128742651,52.40768,4.9284,75,2,143,5.87,2,33
60041757,52.33896,4.89799,48,2,144,5.86,3,0
14187610,52.36239,4.88368,99,1,220,5.84,2,337
39161893,52.3656,4.94103,75,1,260,5.84,1,3
56440053,52.34125,4.80063,90,1,14,5.83,2,268
57087005,52.37037,4.86545,79,3,140,5.82,1,33
226859324,52.36685,4.85969,75,2,30,5.81,1,49
162940471,52.37424,4.9005,149,3,88,5.81,2,31
92986064,52.41013,4.92465,37,1,187,5.81,1,242
9237467,52.35172,4.8859,70,3,212,5.79,2,0
2313061,52.37512,4.88282,119,1,306,5.78,2,36
148514657,52.37087,4.94085,75,3,10,5.77,1,4
8801297,52.37657,4.86127,75,2,10,5.77,1,34
34581928,52.42337,4.88607,70,2,45,5.77,1,31
2540184,52.3534,4.90762,94,3,179,5.77,1,265
1672823,52.35462,4.89243,260,2,357,5.77,2,115
20593864,52.38544,4.90747,85,2,138,5.73,1,68
3332206,52.34088,4.91022,89,2,435,5.72,1,212
92294722,52.35626,4.8049,70,1,66,5.71,2,300
173784342,52.372,4.93,70,2,82,5.71,2,12
128974233,52.37536,4.89372,158,2,137,5.71,1,242
147887892,52.31996,4.96887,25,1,100,5.7,2,296
145907546,52.3524,4.91969,79,2,116,5.7,1,46
199450112,52.36787,4.88113,99,1,26,5.69,2,63
11538527,52.39102,4.93059,125,2,88,5.69,1,253
41642643,52.37029,4.89792,75,1,257,5.69,3,103
2309485,52.3462,4.89566,80,1,330,5.69,1,105
245350620,52.37917,4.89339,73,1,7,5.68,1,0
3808355,52.37595,4.881,159,1,7,5.68,3,31
128742651,52.40853,4.92866,69,2,138,5.68,2,26
